numRep	nbrJoueur	txtJ1	b1J1	b2J1	b3J1	b4J1	didJ1	voixJ1	sonJ1	imageJ1	txtJ2	b1J2	b2J2	b3J2	b4J2	didJ2	voixJ2	sonJ2	imageJ2	txtJ3	b1J3	b2J3	b3J3	b4J3	didJ3	voixJ3	sonJ3	imageJ3	txtJ4	b1J4	b2J4	b3J4	b4J4	didJ4	voixJ4	sonJ4	imageJ4	mc1	mc2	mc3	mc4	mc5	mc6	mc7	mc8	mc9	mc10	mc11
		tout petit,	GO																																													
		quasi ridicule, n’est-ce pas ?	GO																																													
		Et personne pour s’en occuper.	GO																																													
		Le paysan qui laboure,	GO																																													
			GO							Photo zoomée du paysan																																						
		le pécheur,	GO																																													
			GO							Photo zoomée du pêcheur																																						
		le marin :	GO																																													
			GO							Photo zoomée du marin																																						
		rien,	GO																																													
			GO				Un silence																																									
		personne ne voit le malheureux Icare, 	GO																																													
		Tout le monde s’en fiche,	GO																																													
		chacun vaque à ses occupations.	GO																																													
			GO				Un silence																																									
			GO				Regardez votre père imaginaire																																									
			GO				Prenez la voix d'un.e enfant																																									
		Tu vas mourir,	GO																																													
			GO				Reprenez votre voix de narrateur																																									
		j’ai dit à Papa ?	GO																																													
			GO				Reprenez la voix du père																																									
		Mourir ?	GO																																													
			GO				Reprenez la voix de l'enfant																																									
			GO				Jouez l'inquiétude																																									
		Si tu es Icare,	GO																																													
		et que Icare,	GO																																													
		c’est lui …	GO																																													
			GO				Reprenez la voix du narrateur																																									
		Il me coupe,	GO																																													
		impérial	GO																																													
		« La nature de l’homme n’est pas immuable. 	GO																																													
		L’Homme n’est devenu l’Homme / qu’en ne restant pas ce qu’il était.	GO																																													
		Et il ne restera Homme / qu’à la condition de changer ce qu’il est, fils. 	GO																																													
		Je veux voler, voler, pas chuter ».	GO																																													
			GO				Un silence																																									
			GO				Regardez les autres joueurs 																																									
		Plus tard j’ai compris / que des hommes de peu d’obstination / tenaient mon père pour un charlatan, 	GO																																													
		un être vantard	GO																																													
		qu’ils n’auraient voulu fréquenter pour rien au monde.	GO																																													
			GO				Jouez la colère																																									
		Vous avez tort,	GO																																													
		vous,	GO																																													
		les tièdes,	GO																																													
		les incrédules ! 	GO																																													
		Mon père avait le courage de ses désirs. 	GO																																													
			GO				Un silence																																									
			GO				Reprenez votre déambulation dans l'espace																																									
		Le jour vint où il voulut démontrer au monde entier / qu’il était Icare	GO																																													
		sans la chute.	GO																																													
		Voler ?	GO																																													
		Oui, il volerait,	GO																																													
		et aux yeux du monde entier !	GO																																													
			GO				Un silence																																									
			GO				Arrêtez vous pour faire bien face aux autres spectateurs : /  ils sont votre assemblée																																									
		Les semaines de préparation furent denses,	GO																																													
		les cartons d’invitation lancés au gratin de la science et de la presse.	GO																																													
		Le grand moment arrive.	GO																																													
		Papa regarde le parterre des invités.	GO																																													
			GO						Une ambiance de foule excitée																																							
			GO				Prenez la voix du père																																									
		« Je vous remercie	GO																																													
			GO						La foule se tait, laissant place à une ambiance de foule chuchotante																																							
			GO				Ayez un petit rire étouffé / vous venez de faire taire tout le monde !																																									
		Je vous remercie d’avoir accepté 	GO																																													
		d’être les spectateurs de mon ascension.	GO																																													
		Reconnaissez pourtant 	GO																																													
		que vous êtes venus comme des convives de la dernière heure,	GO																																													
		des sceptiques	GO																																													
		qui se présentent in extremis au banquet / alors que le maître de maison les attendait plus tôt, 	GO																																													
		sûr qu’ils arriveraient dans l’emballement,	GO																																													
		dans l’enthousiasme,	GO																																													
		avec au coeur un désir fou pour la fête ;	GO																																													
		et non comme des spectateurs énervés, 	GO																																													
		fourbus par une journée qui leur pèse sur les paupières, 	GO																																													
		des spectateurs aigres,	GO																																													
		fermés,	GO																																													
		plus prompts à rejeter qu’à prendre,	GO																																													
		de mauvais spectateurs en somme,	GO																																													
		des spectateurs sans talent, sans générosité,	GO																																													
		qui ne méritent pas l’intérêt qu’on leur porte.	GO																																													
			GO				Riez / c'était une blague																																									
			GO				Reprenez amicalement, toujours avec la voix du père																																									
		Oubliez votre incrédulité. 	GO																																													
		Soyez des amis véritables,	GO																																													
		partagez l’insensé avec moi. 	GO																																													
		Dites oui à l’impensable. 	GO																																													
		Pensez à la juste rétribution de votre présence ici :	GO																																													
		j’y étais !  pourrez-vous dire,	GO																																													
		j’y étais ! j’ai vu l’exploit, je l’ai vu, de mes yeux vu ! »	GO																																													
			GO				Un silence																																									
		Quelqu’un se lève, objecte	GO																																													
			GO				Prenez la voix d'une personne très agaçante																																									
		« Vous oubliez le pied du cosmonaute sur la lune. 	GO																																													
		Réalisé	GO																																													
		depuis longtemps	GO																																													
		le rêve d’Icare,	GO																																													
		mais sous une forme imprévue ! 	GO																																													
		Six chevaux qui tirent une voiture	GO																																													
		la font sûrement rouler plus vite qu’un seul, 	GO																																													
		mais rien ne remplace le moteur,	GO																																													
		et ce n’est pas en perfectionnant la bougie	GO																																													
		qu’on est arrivé à l’électricité.	GO																																													
		Pour faire l’oiseau, il fallait inventer quoi ?	GO																																													
			GO				Un silence 																																									
		L’avion ! 	GO																																													
			GO				Un silence																																									
		C’est fait ! Vous comprenez ?	GO																																													
		Donc,	GO																																													
		voici ma question : 	GO																																													
		votre velléité d’envol n’apparaît-elle pas réactionnaire,	GO																																													
		rétrograde,	GO																																													
		puérile même ? »	GO																																													
			GO				Reprenez la voix du narrateur																																									
		Mon père fixe longuement son contradicteur.	GO																																													
			GO				Reprenez la voix du père																																									
		« Icare a volé	GO																																													
		et a chuté,	GO																																													
		c’est un fait indéniable.	GO																																													
		Et Jésus	GO																																													
		a réussi son ascension	GO																																													
			GO				Levez l'index																																									
		(en ayant recours a des moyens non homologués, il faut le préciser.)	GO																																													
			GO				baissez l'index																																									
		On dira donc : 	GO																																													
		Icare tombe,	GO																																													
		Dieu grimpe.	GO																																													
		On dira : 	GO																																													
		Dieu réussit,	GO																																													
		là où l’Homme échoue.	GO																																													
		Eh bien, c’est précisément ce que l’expérience / à laquelle je vais me livrer / entend réfuter.	GO																																													
		Ah, il serait pratique de diviser le monde / entre les « Icare » et les « Jésus »,	GO																																													
		et, pour être complet, chacun d’entre nous dans sa vie,	GO																																													
		selon les moments, selon les situations,	GO																																													
		peut être Icare et puis Jésus	GO																																													
		ou Jésus et puis Icare, 	GO																																													
		tant nous sommes faits d’une succession de chutes et d’élévations.	GO																																													
		Pourtant ce serait cautionner le malentendu.	GO																																													
		Non,	GO																																													
		je ne vous laisserai pas croire que cette bipartition du monde me satisfait.	GO																																													
		Serait-elle exacte que je la contesterais encore.	GO																																													
		Donc,	GO																																													
		entre le scepticisme repu de lui-même	GO																																													
		et l’idéalisme de ceux qui croient l’envol réservé à la caste divine,	GO																																													
		je veux inscrire la possibilité qu’un homme,	GO																																													
		un homme tout bête,	GO																																													
		moi ! 	GO																																													
		réussisse là où régnait le privilège de Dieu,	GO																																													
		et en aucun cas ne soit voué à subir le sort du malheureux Icare.	GO																																													
			GO				Un silence																																									
		Sur la page du ciel, devant vous, je vais maintenant écrire un texte nouveau. »	GO																																													
			GO				étendez les bras comme pour qu'on vous mette un manteau / ou comme Jésus à vous de voir																																									
			GO				Reprenez la voix du narrateur																																									
		Maman qui entre	GO																																													
			GO				Jouez la mère qui entre / elle est très stressée, anxieuse																																									
			GO				Prenez la voix de ce que vous pensez être la mère																																									
		« Tes ailes. Voici tes ailes.	GO																																													
			GO				Reprenez la voix du narrateur																																									
		(Elle aide papa à les fixer).	GO																																													
			GO				Aidez votre mari imaginaire à fixer ses ailes imaginaires																																									
			GO				Reprenez la voix de la mère																																									
		Je ne sais pas si tu seras jamais un oiseau,	GO																																													
		mais tu es un seigneur ».	GO																																													
			GO				Reprenez la voix du narrateur																																									
		Elle pleure,	GO																																													
		elle l’embrasse. 	GO																																													
		Mon père me prend dans ses bras	GO																																													
		« Fils,	GO																																													
		le rêve d’Icare	GO																																													
		est ton héritage ».	GO																																													
			GO				Prenez la voix d'un.e enfant																																									
		Tu reviendras ? 	GO																																													
			GO				Reprenez la voix du narrateur																																									
		j’ai dit.	GO																																													
			GO				Reprenez la voix du père																																									
		« Je reviendrai te chercher.	GO																																													
		Je te le promets,	GO																																													
			GO				Un silence																																									
		on fera le tour du monde en tandem ».	GO																																													
			GO				Reprenez la voix du narrateur																																									
		Je ris, il rit.	GO																																													
		Le vol a mal tourné bien sûr.	GO																																													
		Papa a grimpé sur la falaise,	GO																																													
			GO				Un silence																																									
		il a visé le soleil,	GO																																													
			GO				Un silence																																									
		a secoué ses ailes,	GO																																													
			GO				Un silence																																									
		s’est lancé, 	GO																																													
			GO				Un long silence																																									
		s’est écrasé sur les vagues.	GO																																													
		Après sa chute, sa voix bruissait encore dans les nuages	GO																																													
		 « Je survolerai la terre,	GO																																													
		 je nommerai les infamies que je vois, 	GO																																													
		je nommerai aussi la beauté du monde ».	GO																																													
																																																
55	1	 La forêt est plus intelligente que toi.																																				prophete	revolution	mort	scientifique	perspective	nature	hypocrisie				
		La forêt est plus obstinée que toi.																																														
		La forêt est plus forte que toi.																																														
		La forêt existait longtemps avant toi et existera longtemps après toi.																																														
		Si l’être humain disparaissait de la planète,																																														
		-Il est capable d’y arriver, il est assez bête pour ça !-																																														
		si l’être humain disparaissait de la terre, combien de temps faudrait-il à la forêt pour reprendre ses droits ?																																														
		Combien de temps faudrait-il pour que New York																																														
		-Par exemple !-																																														
		redevienne une forêt ?																																														
		New York avant de devenir New York était une forêt.																																														
		Homme tu es poussière et tu retourneras en poussière, forêt tu es forêt et tu redeviendras forêt.																																														
		Hé, où vas-tu ?																																														
		On ne t’agresse pas.																																														
		On pose des questions, c’est tout.																																														
		Reste.																																														
		Personne ne dit que c’est de ta faute.																																														
		À Tchernobyl, après l’accident nucléaire, on a rasé la forêt rouge – le rouge, c’était																																														
		la couleur des arbres morts- et quelques années plus tard, d’autres espèces d’arbres ont recommencé à pousser, des races plus résistantes.																																														
		Donc, tu vois, si toi, moi, nous les humains, on disparaît, la forêt s’en contrefout.																																														
		Si tu rejoins notre combat, laisse ton altruisme forestier sur le bord de la route																																														
		On n’en a pas besoin.																																														
		Franchement les forêts se débrouilleront bien sans nous.																																														
		Le forêt n’a pas besoin de nous, c’est nous qui avons besoin des forêts.																																														
		Donc quand on se bat pour les forêts, on se bat pour nous, tu comprends ?																																														
		Et n’imagine pas qu’on défend les forêts parce qu’on serait des toqués qui croient qu’ils parlent aux plantes, aux arbres et aux forêts.																																														
		Et pire, que plantes arbres et forêt leur parlent.																																														
		Ça, c’est dans les contes de fées ou les séries télé.																																														
		Nous on se bat pour les forêts parce qu’on ne veut pas disparaître, c’est tout.																																														
		Pas besoin de mélasse sentimentale pour accompagner tout ça.																																														
		De toute façon, je pourrais même dire que objectivement la forêt est notre ennemi,																																														
		parce que tu ne peux quand même pas considérer amicalement une nature qui se																																														
		fout complètement de toi.																																														
		Qui ne sait même pas que tu existes.																																														
		La nature est juste un allié qui doit rester en vie si tu veux rester en vie.																																														
																																																
56	1		GO				Debout. Tendu par l'attente.																																									
		J’attends. 	GO																																			pathologie	travail	nature	angoisse	provocation	violence	regard				
		Mon problème dans la vie est d’apparaître. 	GO																																													
		Je bourgeonne, je voudrais fleurir, 	GO																																													
		mais la lumière me fuit, je ne la capte pas naturellement. 	GO																																													
		Une grande main doit me propulser.  Je brille si on me fait reluire.	GO																																													
		 Je suis un jeune cuivre, je peux donner tout mon éclat si le doigt de Dieu me frotte le dos !	GO				La DRH t'invite à t'assoir en face d'elle.																																									
		Mais la DRH, là, me laisse à peine ma chance. Une petite ratte au poil sec.	GO				Elle te regarde.																																									
		Une femelle misérable. La suffisance est son cancer. 	GO																																													
		Elle se chierait dessus qu’elle en serait encore ravie. 	GO																																													
		Ils ne vont pas me licencier tout de même ? 	GO																																													
		Je m’affole probablement pour rien,	GO				Adresse-toi à elle. 																																									
		 c’est à cause des médicaments que je prends.	GO																																													
																																																
57	1	Le meurtre est évidemment une grande école de vie, passez-moi le paradoxe.																																														
		 Supposons que pour sortir de l’enfance chacun accomplisse un meurtre,																																														
		 l’Humanité serait autrement meilleure.																																														
		 Plus d’innocence !																																														
		 Et plus d’illusions : on saurait dès le début qu’on est un meurtrier,   																																														
		et que l’autre est aussi un meurtrier.																																														
		Du coup, on deviendrait prudente, mesurée, 																																														
		on ne se ferait plus mettre comme des babouines un jour de grand rut parce qu’un pneu vient de crever 																																														
		et qu’un champion de l’arnaque vous sort un cric de son pantalon,																																														
		vous enlève ce qu’il faut et vous répare le trou en deux coups de cuiller à pot.																																														
																																																
58	2								bruit de trains qui roulent lentement sur des vieux rails									bruit de trains qui roulent lentement sur des vieux rails																				politique	voyeur	mort	prétention	perspective						
							Sous un pont ferroviaire, à l'abris du regard des autres, /vous voyez l'autre qui vous attend.									Sous un pont ferroviaire, à l'abris du regard des autres, /vous voyez quelqu'un qui s'approche.																																
							Allez vers lui, mais tenez bien la distance /pour ne pas éveiller les soupçons									Vous le regardez discrètement, mais il ne le veut pas. /Vous restez là où vous êtes.																																
							Ne regardez pas l'autre quand vous lui parlez									Vous l'écoutez, mais vous ne le regardez pas.																																
		Réjouis-toi, /William est déjà mort et enterré ! 																																														
		Je le sais. /J’ai surpris une conversation. 																																														
		Je n’écoute pas aux portes, /mais une oreille qui veut entendre finit toujours par entendre,																																														
		voilà ! 																																														
							Rapprochez-vous légèrement à l'autre																																									
		Et j’ai entendu  																																														
		que William n’a pas le profil, /William																																														
		pas le charisme, /William																																														
		pas la couleur, /William																																														
		pas le bon genre, /William																																														
		n’a même pas le bon sexe :																																														
							Mettez-vous face à l'autre et prenez-le par les épaules																																									
		ils veulent une femme comme tête de liste pour les législatives. 																																														
		Donc, adieu William, 																																														
		et tes chances restent intactes.																																														
							Regardez bien autour de vous, et partez discrètement.																																									
																																																
59	1	Je tourne en rond, 																																				pathologie	obsession	photo	nature	echec	corps	regard	temoignage			
		je touche les murs, 																																														
		je n’ouvre plus les rideaux, 																																														
		je ne referme plus l’armoire,																																														
		je ne me lave plus, 																																														
		je ne mange plus, 																																														
		je fume,																																														
		je m’enferme chez moi,																																														
		je ne vois plus personne,  																																														
		je bois du café,																																														
		j’y mets de l’alcool,																																														
		je bois aussi l’alcool sans le café, 																																														
		je bois à la bouteille, 																																														
		 je tombe sur le sol, 																																														
		je vomis, 																																														
		je dors quelques heures,																																														
		 je me réveille,   																																														
		j’avale des tranquillisants,																																														
		quelqu’un vient sonner,																																														
		je n’ouvre pas																																														
		on crie, 																																														
		on frappe à la porte,																																														
		 je ne bouge pas, 																																														
		je perds la notion des heures,																																														
		des jours, 																																														
		on force ma porte,																																														
		on m’interne, 																																														
		je dors seize heures par jour,																																														
		je reprends du poids,																																														
		l’infirmière a de jolis cheveux roux,  																																														
		la psychologue me prend souvent la main.																																														
		-. Ça va mieux aujourd’hui ?																																														
		-. Oui, ça va mieux.																																														
		-. En tous cas vous avez une meilleure mine.																																														
		Je sors de la clinique. 																																														
		Je regarde à nouveau les arbres.																																														
		 Je rentre chez moi. 																																														
		La maison est propre.																																														
		 Quelqu’un l’a nettoyée en mon absence. 																																														
		Un soleil d’avril réchauffe les murs. 																																														
		Et fichée sur la porte de la chambre avec une épingle, 																																														
		toujours cette photo de toi, toi, toi, toi, toi, 																																														
		cette élégance, que j’aime tant, 																																														
		ton grand visage si largement divisé en deux, 																																														
		ce paysage de cime et de gouffre qui te compose. Oui,																																														
		c’est toi, c’est toi.																																														
																																																
60	1	Je suis une pénitente asservie au dieu amour. 																																				animal	obsession	cru	tentation	perversion	corps	sexe				
		Si je peux être cette fille qui attend un signe du désir, 																																														
		pourquoi ne le ferais-tu pas, ce signe ?   																																														
		Fais-moi un signe.																																														
		Il te faut une parade ?																																														
		Tu as raison.																																														
		 L'amour n'est presque rien sans la parade,  																																														
		pas plus qu’une copulation biologique,																																														
		une hygiène, qu'en ces temps malades, il vaut mieux demander à une poupée gonflable.																																														
		Vois mon mouvement, vois mes chevilles.																																														
		Le balancement de mes hanches. 																																														
		La cambrure de mes reins. 																																														
		En as-tu plein les yeux? 																																														
		Mains fouillent. Langue goûte. Nez renifle. 																																														
		Oui, oui, viens, viens, qu'à ton oreille je puisse donner ma salive !																																														
																																																
61	1	« Peuples du monde, notre heure est venue », dit le président, 																																				prophete	travail	politique	perspective	communication	illusion	discours				
		et d’entendre ça en compagnie de 200 000 personnes a fait fondre mon amertume. 																																														
		Fous le camp, la poisse, je me disais, 																																														
		quoique, honnêtement, je ne voyais pas de liens concrets entre le destin du monde et ma situation de chômeur récent.																																														
		Je n’étais pas aveuglé, pourtant, j’ai pensé : si un homme peut nous sauver, c’est celui-là. 																																														
		Et j’ai crié son nom.																																														
		On a cru que j’étais un de ses partisans, un fidèle de longue date																																														
		alors que non, pas du tout, je le découvrais cet homme, 																																														
		ou plutôt je découvrais ce qu’il me faisait découvrir en moi :																																														
		qu’il me restait de l’appétit pour la vie, 																																														
		que je n’étais pas l’exclu que je croyais, 																																														
		qu’il y avait aussi pour moi une porte quelque part, 																																														
		et cet homme pouvait m’aider à la trouver. 																																														
		« Peuples du monde, notre heureest venue ! » Ça me booste !																																														
																																																
62	1	Je suis habituée à me battre, moi !																																														
		 J’ai dû vaincre une grosse mère possessive,  personne ne m’a aidée,																																														
		 une dévoreuse qui ne voulait que mon bien, une gluante d’amour. 																																														
		La méduse pétrifiait mes amis, j’étais son loukoum, son baba au rhum, 																																														
		je criais au secours au secours, 																																														
		personne n’entendait, l’ogresse affective me coinçait contre sa bouche.																																														
		Les embrassades parentales sont une terrible disgrâce pour un enfant. 																																														
		Avale-moi, avale-moi, je pensais, chie-moi et tire la chasse,																																														
		qu’on en finisse, je n’en peux plus d’être mâchée et remâchée. 																																														
		Un jour, j’ai mis fin à tout ça avec l’aide d’un amoureux (je l’appelais my little canari). 																																														
		Le volatile est vite reparti et beaucoup d’autres oiseaux lui ont succédé.																																														
		Et aujourd’hui, si maman me regarde, elle doit se prendre une grande claque dans la gueule : 																																														
		je suis meneuse de revue au Casino de Paris !																																														
																																																
		Aujourd’hui, j’ai verrouillé le passé, 																																														
		je danse à pieds joints sur le ventre de maman.																																														
																																																
63	1	Reconnaissons que le fils de Dieu n’a pas rechigné à une certaine mise en spectacle de lui-même. 																																				prophete	mort	spectacle	representation	mythe	corps	ascension	pere	recit		
		L’arrivée triomphale à Jérusalem, le dernier gueuleton avec les potes, 																																														
		le procès très médiatique, l’épreuve olympique du calvaire, 																																														
		et surtout ce coup de génie : la crucifixion.																																														
		 Il y en avait du monde ! 																																														
		Il n’a pas décidé de disparaître discrètement.																																														
		 Le Christ est mort en plein jour, à 3 heures de l’après midi, au vu et au su de tous.																																														
		Une surprenante bascule de lumière a souligné l’agonie,																																														
		comme le raconte l’évangile et, détail admirable, dans la douleur du sacrifice, 																																														
		Jésus n’a pas oublié de placer la petite phrase qu’il avait préparée : « Père, père, pourquoi m’as-tu abandonné ? » 																																														
		Travail de pro, évidemment. Marché des âmes garanti pour deux mille ans.																																														
		Il y a là un exemple à suivre.																																														
																																																
64	1	Mon cher fils, 																																				famille	communication	argent	valeur	mere	façade	education	pere			
		je suis bien contente que tout est arrangé pour ton diplôme. 																																														
		Tu ne me dis pas si tu as eu le mandat de quinze cents francs que j’avais envoyé.																																														
		Quant à moi, j’ai réglé Vallin pour l’électricité. 																																														
		Pour le moment on fait les cartons en vue du  déménagement, 																																														
		 pourvu que ce soit la dernière fois.																																														
		Monsieur Delmez a été très chic avec nous, 																																														
		il remet à neuf le lavoir, la chambre de derrière et repeint la façade.																																														
		On est bien content, ce sera toujours ça de gagné.																																														
		Le temps ici s’est refroidi assez bien, il avait hier gelé à glace… 																																														
		papa semble parler un peu mieux, mais il ne supporte pas encore bien ses dents, …																																														
																																																
65	1	Ah, non, ce n’est pas comme ça que vous allez marquer des points, moi, je vous le dis.																																				prophete	spectacle	violence	cru	corps	perversion	blessure	mort	jeu		
		Vous êtes trop cérébral. 																																														
		La continuelle méditation de l’esprit afflige le corps, jouissez !																																														
		Enfermé dans la litanie de vos questions, vous laissez trop peu paraître votre face vulnérable, cela vous dessert.																																														
		Dois-je vous taillader le dos au rasoir,																																														
		vous bourrer les plaies de sel pour que vous le compreniez ? 																																														
		Le public aime les animaux mutilés, les bébés qu’on écrase, 																																														
		les mamans violées, les papas qui partent à la guerre, 																																														
		alors de l’émotion, mon vieux, de l’émotion,																																														
		crachez vos secrets, faites nous pleurer !																																														
																																																
66	2		GO				Agenouille-toi.					GO				Place-toi à environ 5 mètres de Joueur 1.																						rupture	travail	echec	couple	desillusion	rigueur	degout				
			GO				Ne regarde pas le Joueur 2, mais le sol, quelques mètres devant toi.					GO				Arrête-toi.																																
			GO				Ici se trouve une tombe.					GO				Tourne-lui le dos.																																
		L’être que j'ai aimé n'est pas l’homme qui est là,	GO									GO				Tu es un fantôme.																																
		je le vois très clairement.	GO																																													
		L’être que j’ai aimé était une grande promesse et lui	GO																																													
							Regarde Joueur 2.																																									
		ça,	GO																																													
							Regarde la tombe.																																									
		là,	GO																																													
							Regarde la photo au-dessus de l'épitaphe gravé en lettres dorées.																																									
		c'est juste un petit journaliste	GO																																													
		adipeux	GO																																													
		qui fait tout ce qu'il peut pour qu'on le remarque,	GO																																													
		pour qu'une conne comme	GO																																													
			GO				toi.																																									
		je l'étais le remarque, une conne qui l’a trouvé	GO																																													
		épatant jusqu'à ce	GO																																													
			GO				qu'il te frappe le crâne contre le sol.																																									
		que l'idée contraire s'impose ! Nous en sommes là !	GO									GO				Tourne-toi.																																
			GO				Regarde Joueur 2.																																									
			GO				C'est toi qui l'a mis là.																																									
		L'idiotie se transforme souvent en intelligence,	GO																																													
			GO				Sois-en fière.																																									
		la vie est beaucoup plus optimiste qu'on le dit finalement,	GO																																													
		en tout cas l'idiotie de t'avoir aimé n'est pas une condamnation à vie,	GO																																													
		ni à mort d'ailleurs,	GO																																													
		c'est ça que je suis venue te dire.	GO																																													
			GO				Tu vas mieux !																																									
		Je pars.	GO																																													
		Je voulais que tu l'apprennes ici,	GO																																													
			GO				là où il ne peut pas t'échapper, comme...																																									
		dans ce bureau, pendant que tu baises avec ton travail !	GO																																													
			GO				Tu vas bien, alors dis-lui.																																									
		Je pars,	GO																																													
			GO				Laisse-lui ta dernière attache.																																									
			GO				Ouvre ta main.																																									
		adieu.	GO				Pars.		son_bague_1			GO				Regarde l'objet tombé.		son_bague_2																														
																																																
67	3	Attendez ! Je suis venu vous dire que vous êtes en grand danger.																																				mort	argent	prophete	organique	pere	chute	dialogue				
											Quel est le danger ?																																					
		Mon père l’a vu.																																														
																				Vu plus que vu.																												
											Qu’est-ce que vous avez vu ?																																					
																				J’ai vu ton impatience bondissant au bord de la route.																												
		Mon père a des visions. Elles disent toujours la vérité.																																														
																				Je t’ai vu, toi.																												
											Tu m’as vu, moi !																																					
																				J’ai vu le rêve d’un homme vers le soleil.																												
											Charlatan !																																					
																				Je t’ai vu. Inquiet d’être lourd, si lourd. 																												
																				Rêvant de la beauté de l’avion qui avale l’air et le recrache																												
																				 et dans ce mouvement de rejet trouve la force de décoller.																												
											Est-ce tout le mal qui va m’arriver ? Je me le souhaite !																																					
		Il n’a pas fini de parler.																																														
											Il est cinglé ton vieux.																																					
																				Tu volais, fendais le ciel, et les nuages étaient plus doux que les seins de ta mère.																												
																				 Tu montais, montais, le grand air de l’ambition grimpait avec toi. 																												
																				Et puis voilà que le mouvement s’inverse. Tu te plies, tu es cassé. 																												
																				La gueule du parfait cigare qu’on écrase au fond de son verre.																												
																				 C’est la chute. La chute. Tu tombais ! 																												
																				Tu tombais dans les brumes magnétiques. 																												
																				Ça t’ouvrait la bouche, oh terreur, disais-tu, oh oui, terreur. 																												
																				Et le trottoir se réjouissait déjà du choc. 																												
																				Explosion, sac d’organes éventrés dans le matin pâle,																												
																				celui-là, il aurait dû numéroter ses os, dit une grosse femme.																												
											Assez ! Ça suffit !																																					
																				Et ça gicle sur ses jambes, du sang rouge d’animal bien nourri, 																												
																				et la merde aussi.																												
																				À moins que ce soit sa merde à elle, à cause de la pétoche, 																												
																				tu n’es pas passé loin il faut dire, mon pauv’ gamin !																												
																				 Ho ! J’ai encore l’odeur de ton cadavre sur les mains.																												
																																																
											Ça suffit, vieille bête !																																					
																				As-tu parfois fermé les yeux, pensé à ta mort ?																												
											Voilà de l’argent pour fermer ta gueule.																																					
																				Je te parle de ta mort.																												
											Vous en voulez plus, c’est ça ?																																					
		Il est pitoyable, ce mec.																																														
																																																
68	1	Je vous veux ce soir à ma table. 																																				mondanite	corps	mepris								
		Arrogance et esprit seront au menu comme à l'habitude. 																																														
		Soyez brillant, mon vieux, ça vous sera compté. Pour ce qui est du corps,																																														
		moi, je marche dans le parc de mon château et ça me suffit. 																																														
		Prenez exemple sur moi! Thorax parfait. Genoux parfaits. 																																														
		Je pourrais vous sauter sur le dos.																																														
																																																
69	1	« Aaaaaah! Aaaaaah » 																																				photo	mort	organique	faitdivers	recit	cri	peur				
		criait la concierge, sans penser à appeler la police. 																																														
		Elle restait comme une statue, figée dans la surprise, avec son aaaaaaah comme seule réaction.																																														
		 Faut toucher à rien, j’ai dit. 																																														
		Du sang il y en avait forcément, une balle dans la tête ce n'est pas propre. 																																														
		La concierge aimait Sonia.																																														
		Cela explique les sanglots,																																														
		ou alors elle a pensé que la mort la cherchait, elle, la concierge, 																																														
		et que, faute de l'avoir trouvée, la mort avait pris la petite. 																																														
		Quelqu'un meurt souvent à votre place, et on est plein de culpabilité et on ne sait pas pourquoi.																																														
		 « J'ai si peur, disait-elle, j'ai si peur ». 																																														
		Peur de quoi, je disais, c'est Sonia qui est morte, pas vous. 																																														
		J'ai dû la gifler, elle allait tourner de l’oeil. 																																														
		Le visage de Sonia était partout sur les murs, 																																														
		on aurait dit que l'appartement était habité par ses photos, 																																														
		Sonia à la mer,    																																														
		Sonia nue dans l'ombre,																																														
		Sonia et sa bouche,																																														
		Sonia et ses seins.																																														
		Finalement, c'est la vraie Sonia qui était de trop.																																														
																																																
70	1	On vivait à cinq dans deux pièces. 																																				famille	souvenir	degout	cru	organique	mort	confession	reve			
		Mon souhait secret : que les autres meurent très vite ! 																																														
		C’était mon espoir d'une seconde et mon remords de la journée entière.																																														
		Je vous aime papa, maman, mes frères, mais mourez vite, laissez-moi au moins une chambre à moi.																																														
		Soyez là et pas là.  																																														
		Soyez présents et absents.																																														
		Soyez visibles et invisibles.																																														
		Papa est parti.   																																														
		Les frères sont partis.																																														
		La mère s'accroche.																																														
		Je ne peux plus la voir. Je ne peux plus la sentir. 																																														
		Le coeur dit encore oui quand je ferme les yeux et que je revois quelques images : 																																														
		elle, pas encore soûle, pas encore laide, 																																														
		pas encore graisseuse, à la terrasse de l'auberge dans les bois, avec la fraîcheur sous nos robes. 																																														
		Ce que tu es devenue moche, maman. 																																														
		Comme je suis triste. 																																														
		Je ferme les yeux. 																																														
		Oui, oui, je pense à toi telle que tu étais à la terrasse de l'auberge des bois.																																														
																																																
71	1	C’était « La belle femme », une statue monumentale d’un sculpteur connu. 																																				art	voyeur	obsession	corps	statue	regard					
		Des seins, des fesses, des formes, une femme posée sur son cul, les jambes bien écartées, 																																														
		si bellement femme qu’elle en effarouchait les notables qui habitaient le quartier.																																														
		Leur promenade journalière les amenait place du marché où la statue était posée. 																																														
		Horreur ! 																																														
		Ils s’agitèrent. Ils protestèrent. 																																														
		Firent sentir aux responsables politiques l’immense faute morale qu’ils étaient occupés à commettre en tolérant une pareille exhibition.																																														
		 Bref, on l’enleva, cette statue, on la déroba aux regards. 																																														
		« La belle femme » fut enfermée dans une cave. 																																														
		Et c’est ce qui la sauva du désastre, figurez-vous. 																																														
		Lorsque les nazis, occupés au pillage des oeuvres d’art, voulurent la déporter en Allemagne,  ils ne la trouvèrent pas. 																																														
